Component,Sub-component,Variable,Measure,Country,ISO Code,Year,Value
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Bangladesh,BGD,2029,0.317487317
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Barbados,BRB,2029,0.205309223
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Botswana,BWA,2029,0.357885159
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Belize,BLZ,2029,0.392823121
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Solomon Islands,SLB,2029,0.381751188
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Brunei Darussalam,BRN,2029,0.204843309
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Cameroon,CMR,2029,0.280325619
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Canada,CAN,2029,0.247519531
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Sri Lanka,LKA,2029,0.318983016
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Cyprus,CYP,2029,0.164552974
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Dominica,DMA,2029,0.28135358
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Fiji,FJI,2029,0.335908021
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Gabon,GAB,2029,0.355788069
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Gambia,GMB,2029,0.361896077
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Ghana,GHA,2029,0.388863225
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Kiribati,KIR,2029,0.396240285
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Grenada,GRD,2029,0.289059175
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Guyana,GUY,2029,0.387407399
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,India,IND,2029,0.319167538
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Jamaica,JAM,2029,0.284667565
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Kenya,KEN,2029,0.35240271
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Lesotho,LSO,2029,0.385221238
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Malawi,MWI,2029,0.317888913
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Malaysia,MYS,2029,0.348490808
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Maldives,MDV,2029,0.269014303
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Malta,MLT,2029,0.20163895
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Mauritius,MUS,2029,0.31025536
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Mozambique,MOZ,2029,0.343705965
